distribution1;distribution2;dimen1;dimen2
82333;9973;2015;2015
79541;50456;2015;2015
92884;51223;2015;2015
79768;4764;2015;2015
83959;5163;2015;2015
90141;64615;2015;2015
73511;241;2015;2015
99865;94252;2015;2015
97257;52902;2015;2015
42568;88821;2016;2016
84744;33299;2016;2016
69092;13296;2016;2016
80925;36728;2016;2016
15009;12901;2016;2016
95475;64436;2016;2016
12262;95062;2016;2016
25183;23157;2016;2016
76582;7813;2016;2016
34081;91041;2016;2016
68400;30637;2016;2016
73778;3553;2016;2016
31673;98637;2016;2016
36094;59195;2016;2016
17148;26888;2016;2016
50770;30218;2016;2016
83541;407;2017;2017
9680;16413;2017;2017
13820;50453;2017;2017
26035;50627;2017;2017
94330;82496;2017;2017
58931;37215;2017;2017
9453;55333;2017;2017
40851;9232199999;2017;2017
50137;9238;2017;2017
71467;1685;2017;2017
95960;70858;2017;2017
27460;14116;2017;2017
77711;26531;2017;2017
96763;81168;2017;2017
5224;3651;2017;2017
30049;57543;2017;2017
7176;24381;2017;2017
68631;81617;2017;2017
27312;86981;2017;2017
89743;14871;2017;2017
28303;68597;2018;2018
91212;546;2018;2018
98311;84041;2018;2018
49751;27782;2018;2018
1494;33994;2018;2018
5325;95941;2018;2018
75813;20497;2018;2018
81034;58739;2018;2018
66580;83947;2018;2018
30357;84868;2018;2018
97097;55834;2018;2018
2821;14591;2018;2018
51930;37045;2018;2018
12478;90052;2018;2018
1549;75041;2018;2018
86373;3924;2018;2018
62813;48857;2018;2018
26913;50433;2019;2019
42388;22121;2019;2019
82841;45301;2019;2019
39342;18374;2019;2019
17416;5596;2019;2019
94355;5681;2019;2019
11781;5839;2019;2019
43798;6331;2019;2019
300;94439;2019;2019
393;66823;2019;2019
90840;1501;2019;2019
33605;50957;2019;2019
61517;89566;2019;2019
75388;12702;2019;2019
13204;97774;2019;2019
79818;18457;2019;2019
86022;3806;2019;2019
4788;94833;2019;2019
31720;96905;2019;2019
8057;37678;2019;2019
82656;52455;2019;2019
9148;80445;2019;2019
63478;4383;2019;2019
50724;5991;2020;2020
87698;56828;2020;2020
90334;81232;2020;2020
27223;60169;2020;2020
48528;45814;2020;2020
44099;46488;2020;2020
58477;17418;2020;2020
48786;8608;2020;2020
18774;64278;2020;2020
27823;80654;2020;2020
95500;49536;2020;2020
33055;47552;2020;2020
82697;64066;2015;2015
62341;3553;2015;2015
78054;28154;2015;2015
35326;10761;2015;2015
27186;8633;2015;2015
92111;51656;2015;2015
48833;57041;2015;2015
55642;54047;2015;2015
69888;51429;2015;2015
7031;24507;2015;2015
45087;46678;2015;2015
66904;56479;2015;2015
44379;59127;2016;2016
45603;34087;2016;2016
41991;79921;2016;2016
95077;13503;2016;2016
19879;9404;2016;2016
43038;38685;2016;2016
17402;28642;2016;2016
43316;2432;2016;2016
71846;17918;2016;2016
11908;48266;2016;2016
22906;28318;2016;2016
82051;67983;2016;2016
20939;7316;2016;2016
69548;16559;2016;2016
23945;39624;2016;2016
24175;79074;2016;2016
35719;79843;2017;2017
65940;67573;2017;2017
89402;75912;2017;2017
5574;1529;2017;2017
84476;92526;2017;2017
95280;40702;2017;2017
61733;53022;2017;2017
29987;50444;2017;2017
36268;9625;2017;2017
83456;81202;2017;2017
35036;31703;2017;2017
97484;29563;2017;2017
58037;42197;2017;2017
15353;46695;2017;2017
47615;2439;2017;2017
24595;58351;2017;2017
43576;3758;2017;2017
43875;86832;2017;2017
177;398;2017;2017
12274;7412;2017;2017
14568;42022;2018;2018
10958;25551;2018;2018
4961;71929;2018;2018
94064;80166;2018;2018
505;3512;2018;2018
26484;59698;2018;2018
8004;22358;2018;2018
76927;93756;2018;2018
64752;57843;2018;2018
92123;50535;2018;2018
75802;6567;2018;2018
5168;35503;2018;2018
60806;32013;2018;2018
30250;50451;2018;2018
13386;35106;2018;2018
81128;34651;2018;2018
43320;70872;2018;2018
99730;90404;2019;2019
82758;10637;2019;2019
39595;37484;2019;2019
61141;5861;2019;2019
56489;35004;2019;2019
10784;67865;2019;2019
69550;1828;2019;2019
27675;64266;2019;2019
40048;71854;2019;2019
84763;26044;2019;2019
51162;46991;2019;2019
44911;59722;2019;2019
82594;46416;2019;2019
89339;73034;2019;2019
62399;42212;2019;2019
65692;28673;2019;2019
64236;26141;2019;2019
8070;24028;2019;2019
56866;85786;2019;2019
71458;96284;2019;2019
89726;526;2019;2019
1805;56167;2019;2019
50076;6276599999;2019;2019
44286;63728;2020;2020
10839;42198;2020;2020
90197;99185;2020;2020
50149;72851;2020;2020
97271;46809;2020;2020
76641;6844;2020;2020
7733;45822;2020;2020
14982;45978;2020;2020
69680;16968;2020;2020
53361;13558;2020;2020
96479;8929;2020;2020
23303;85751;2020;2020
46735;57692;2015;2015
97570;7135;2015;2015
85870;9572;2015;2015
8100;18507;2015;2015
81760;11036;2015;2015
50457;70449;2015;2015
6647;81455;2015;2015
27338;27804;2015;2015
40715;71822;2015;2015
99280;52216;2015;2015
31163;69036;2015;2015
23586;39135;2015;2015
38546;68828;2016;2016
35027;8017;2016;2016
73652;60516;2016;2016
4161;47713;2016;2016
94001;8128;2016;2016
84595;92484;2016;2016
17560;16993;2016;2016
27880;26995;2016;2016
59718;50623;2016;2016
11087;79821;2016;2016
30534;51915;2016;2016
89464;17278;2016;2016
5291;22613;2016;2016
64492;5963;2016;2016
58610;68316;2016;2016
25304;43567;2016;2016
53794;36177;2017;2017
93372;74123;2017;2017
88836;89977;2017;2017
55343;35229;2017;2017
56205;1183;2017;2017
97330;55933;2017;2017
68882;54933;2017;2017
51176;29089;2017;2017
50472;81601;2017;2017
35903;4678;2017;2017
73859;70374;2017;2017
40636;75161;2017;2017
17371;22173;2017;2017
5365;96522;2017;2017
66774;66299;2017;2017
31755;5261;2017;2017
75182;7932;2017;2017
34213;18866;2017;2017
4590;40909;2017;2017
35962;88176;2017;2017
78445;54376;2018;2018
94230;3335;2018;2018
13440;41831;2018;2018
84565;64501;2018;2018
80686;88106;2018;2018
52349;19375;2018;2018
33687;85583;2018;2018
15888;81417;2018;2018
76374;42;2018;2018
66114;6336;2018;2018
54656;41006;2018;2018
47239;78203;2018;2018
68913;9686;2018;2018
57792;41356;2018;2018
9326;46202;2018;2018
89699;13118;2018;2018
65641;48461;2018;2018
8528;15883;2019;2019
8077;55882;2019;2019
22926;37547;2019;2019
92511;11323;2019;2019
79275;7088;2019;2019
40415;59805;2019;2019
79014;66251;2019;2019
64622;40582;2019;2019
51279;38844;2019;2019
10041;63958;2019;2019
30774;1915;2019;2019
8316;29634;2019;2019
39600;35387;2019;2019
35897;40562;2019;2019
14876;99762;2019;2019
94833;44188;2019;2019
50172;49763;2019;2019
83569;71456;2019;2019
57811;5818;2019;2019
76524;43886;2019;2019
39447;40128;2019;2019
79817;27478;2019;2019
34089;5432;2019;2019
26604;49301;2020;2020
77491;34473;2020;2020
60542;2974;2020;2020
73591;71895;2020;2020
29273;25846;2020;2020
12579;491;2020;2020
76522;34018;2020;2020
88918;18537;2020;2020
38316;82997;2020;2020
95579;4044;2020;2020
62181;56178;2020;2020
97985;38241;2020;2020
60355;83277;2015;2015
22752;27449;2015;2015
13819;77185;2015;2015
79928;34433;2015;2015
42834;33568;2015;2015
28025;99819;2015;2015
59215;31321;2015;2015
95245;76488;2015;2015
45818;45687;2015;2015
48870;87913;2015;2015
85537;2203;2015;2015
65619;92671;2015;2015
12393;4314;2016;2016
55040;84492;2016;2016
37969;95929;2016;2016
29306;90196;2016;2016
8970;5286;2016;2016
48103;2518;2016;2016
68628;39047;2016;2016
91093;54267;2016;2016
32947;25413;2016;2016
31724;40999;2016;2016
80728;23945;2016;2016
24074;70687;2016;2016
16490;73831;2016;2016
63851;62217;2016;2016
36722;1034;2016;2016
52094;86274;2016;2016
47458;14395;2017;2017
45681;2134599999;2017;2017
11352;54616;2017;2017
73453;17509;2017;2017
42837;13168;2017;2017
5907;41528;2017;2017
83309;25559;2017;2017
80198;40569;2017;2017
76572;82786;2017;2017
66366;46078;2017;2017
68180;748;2017;2017
14898;55817;2017;2017
68161;98394;2017;2017
96718;31573;2017;2017
45402;33053;2017;2017
18181;73028;2017;2017
15466;27609;2017;2017
8962;3246;2017;2017
75379;70385;2017;2017
10990;63495;2017;2017
28565;18836;2018;2018
77667;11652;2018;2018
612;77213;2018;2018
36368;36745;2018;2018
40252;5441;2018;2018
91486;27229;2018;2018
8714;14779;2018;2018
13286;98483;2018;2018
9152;94723;2018;2018
94850;41703;2018;2018
96998;6378;2018;2018
93188;6151;2018;2018
58209;78937;2018;2018
76043;11811;2018;2018
87390;60712;2018;2018
74396;77943;2018;2018
80754;90794;2018;2018
63521;81047;2019;2019
15149;6933;2019;2019
40607;27979;2019;2019
16335;60537;2019;2019
51960;80154;2019;2019
69705;79193;2019;2019
62321;3357;2019;2019
73196;3848;2019;2019
27134;93304;2019;2019
25619;15661;2019;2019
50571;55286;2019;2019
21526;10103;2019;2019
40512;51482;2019;2019
16470;87286;2019;2019
89774;27806;2019;2019
69720;91778;2019;2019
89277;58312;2019;2019
14388;766;2019;2019
45269;10555;2019;2019
77955;31905;2019;2019
55514;28159;2019;2019
82841;21547;2019;2019
96458;94084;2019;2019
42265;46007;2020;2020
50855;9312;2020;2020
26964;10117;2020;2020
48693;18826;2020;2020
93302;39928;2020;2020
55199;85773;2020;2020
3865;6139;2020;2020
37312;73012;2020;2020
63333;4989;2020;2020
62276;52768;2020;2020
90117;26543;2020;2020
72443;4654;2020;2020
82630;89737;2015;2015
13852;8852;2015;2015
3715;69559;2015;2015
81261;14513;2015;2015
92479;86432;2015;2015
70531;39304;2015;2015
93521;1611;2015;2015
89641;10909;2015;2015
8817;34087;2015;2015
80956;95151;2015;2015
47608;3397;2015;2015
32779;30342;2015;2015
73657;2013;2016;2016
35676;98817;2016;2016
26729;35475;2016;2016
88296;12187;2016;2016
95394;3075;2016;2016
84575;73171;2016;2016
31429;54188;2016;2016
41068;57115;2016;2016
20685;67364;2016;2016
86747;4499;2016;2016
69821;50061;2016;2016
11;48583;2016;2016
79625;53513;2016;2016
66576;68975;2016;2016
35051;80283;2016;2016
23475;89518;2016;2016
54855;33818;2017;2017
27903;30095;2017;2017
59360;78405;2017;2017
53438;3951;2017;2017
65676;53899;2017;2017
18167;12468;2017;2017
84242;54196;2017;2017
76714;82494;2017;2017
16985;84123;2017;2017
88148;57654;2017;2017
11561;21894;2017;2017
25524;44143;2017;2017
41424;99246;2017;2017
85961;663;2017;2017
68190;55719;2017;2017
30318;35835;2017;2017
15381;65969;2017;2017
36497;91625;2017;2017
39232;9256;2017;2017
34435;94305;2017;2017
21521;70619;2018;2018
24784;53703;2018;2018
32836;51678;2018;2018
5558;99543;2018;2018
50573;96447;2018;2018
44482;99503;2018;2018
96947;54653;2018;2018
34792;30957;2018;2018
77245;33786;2018;2018
48968;17606;2018;2018
87387;2365;2018;2018
37356;19997;2018;2018
33780;73788;2018;2018
38124;23974;2018;2018
14177;5326;2018;2018
87678;24946;2018;2018
35082;35854;2018;2018
98238;30719;2019;2019
42344;97927;2019;2019
30195;4058;2019;2019
26698;14747;2019;2019
29213;2747;2019;2019
12142;57471;2019;2019
1181;9058;2019;2019
9302;66127;2019;2019
45636;691;2019;2019
50283;24584;2019;2019
4928;39366;2019;2019
17354;13997;2019;2019
48359;46483;2019;2019
13675;26133;2019;2019
18924;93743;2019;2019
63406;81633;2019;2019
83545;50469;2019;2019
33028;80601;2019;2019
55213;59334;2019;2019
73133;38647;2019;2019
12589;98181;2019;2019
81683;21315;2019;2019
19929;24821;2019;2019
16023;66057;2020;2020
94995;80551;2020;2020
70698;19535;2020;2020
22428;36688;2020;2020
9;36628;2020;2020
64144;18468;2020;2020
82614;28689;2020;2020
85802;36831;2020;2020
66394;10484;2020;2020
83429;90298;2020;2020
28877;66038;2020;2020
96927;7582;2020;2020
1760;45614;2015;2015
1272;27513;2015;2015
22121;787;2015;2015
27265;8893;2015;2015
9859;8106;2015;2015
27511;7922;2015;2015
72124;30979;2015;2015
11886;5241;2015;2015
59079;59594;2015;2015
35745;34931;2015;2015
62652;95957;2015;2015
70948;2563;2015;2015
70583;36974;2016;2016
31552;11555;2016;2016
86638;83171;2016;2016
74875;3136;2016;2016
83768;15289;2016;2016
96704;47111;2016;2016
36003;62358;2016;2016
71650;519;2016;2016
82559;72256;2016;2016
50447;27941;2016;2016
84461;32782;2016;2016
84074;58648;2016;2016
59742;34207;2016;2016
21657;38701;2016;2016
74351;75663;2016;2016
67515;66319;2016;2016
6890;32407;2017;2017
85162;69666;2017;2017
71634;41132;2017;2017
39827;63492;2017;2017
6886;14118;2017;2017
16892;5944;2017;2017
31657;45854;2017;2017
30817;98263;2017;2017
10952;39645;2017;2017
18998;83227;2017;2017
56633;45736;2017;2017
74306;93485;2017;2017
89016;83932;2017;2017
3077;60359;2017;2017
22949;68038;2017;2017
28545;56328;2017;2017
56401;46388;2017;2017
4138;96036;2017;2017
65689;75182;2017;2017
88134;18164;2017;2017
41979;77636;2018;2018
88293;23843;2018;2018
29092;9773;2018;2018
90619;40228;2018;2018
84399;67502;2018;2018
2139;77574;2018;2018
583;95559;2018;2018
76263;57433;2018;2018
9922;78605;2018;2018
74866;83218;2018;2018
53623;44163;2018;2018
43605;1851;2018;2018
98171;26611;2018;2018
3606;7764;2018;2018
90123;37377;2018;2018
92023;82895;2018;2018
90919;66961;2018;2018
1296;37919;2019;2019
27652;47378;2019;2019
95657;9831;2019;2019
21806;5583;2019;2019
114;62047;2019;2019
71434;14534;2019;2019
21266;41651;2019;2019
93424;83051;2019;2019
44968;79811;2019;2019
81730;20581;2019;2019
33942;94117;2019;2019
65612;50955;2019;2019
33336;20023;2019;2019
14798;11699;2019;2019
69622;93333;2019;2019
50272;44688;2019;2019
1780;88413;2019;2019
72924;72347;2019;2019
3674;14495;2019;2019
99784;67588;2019;2019
15464;34318;2019;2019
80917;39713;2019;2019
89899;68071;2019;2019
90797;20176;2020;2020
97102;34775;2020;2020
60911;6193;2020;2020
24381;80038;2020;2020
58768;77642;2020;2020
44921;95997;2020;2020
59131;97528;2020;2020
55549;11869;2020;2020
67293;40451;2020;2020
62138;15761;2020;2020
14036;31099;2020;2020
90565;51908;2020;2020
14358;85366;2015;2015
26712;8967;2015;2015
59270;1346;2015;2015
64546;53849;2015;2015
37764;97116;2015;2015
78479;49;2015;2015
27856;54167;2015;2015
85087;72081;2015;2015
12884;35735;2015;2015
8232;61708;2015;2015
6207;20395;2015;2015
45115;1087;2015;2015
60663;91327;2016;2016
17802;11012;2016;2016
64244;28723;2016;2016
8194;77602;2016;2016
42558;12421;2016;2016
93102;97476;2016;2016
12063;43045;2016;2016
30056;42865;2016;2016
95669;84711;2016;2016
26760;67085;2016;2016
40532;6249;2016;2016
13239;67858;2016;2016
54088;89585;2016;2016
8453;488;2016;2016
95830;4325;2016;2016
5137;83248;2016;2016
41052;853;2017;2017
12210;47094;2017;2017
60779;3166;2017;2017
40970;76198;2017;2017
93599;42001;2017;2017
45109;31906;2017;2017
63465;64192;2017;2017
39805;87333;2017;2017
87157;61611;2017;2017
8203;8003;2017;2017
57292;81701;2017;2017
5084;27513;2017;2017
81085;37537;2017;2017
21607;96682;2017;2017
25151;41411;2017;2017
40628;84363;2017;2017
23503;25456;2017;2017
43085;9257;2017;2017
72538;72439;2017;2017
42586;63932;2017;2017
21741;7418;2018;2018
2084;98626;2018;2018
25953;88514;2018;2018
62824;1993;2018;2018
34550;40404;2018;2018
55254;76625;2018;2018
83790;75104;2018;2018
70601;27805;2018;2018
33075;19073;2018;2018
59664;85047;2018;2018
58677;64654;2018;2018
99830;8747;2018;2018
69538;12519;2018;2018
62095;32748;2018;2018
59614;57897;2018;2018
87501;72247;2018;2018
86967;2812;2018;2018
72016;28067;2019;2019
94310;7011;2019;2019
99280;63728;2019;2019
238;52;2019;2019
1212;97858;2019;2019
49035;88503;2019;2019
22076;16131;2019;2019
15799;3819;2019;2019
51830;75552;2019;2019
53626;71805;2019;2019
70617;46222;2019;2019
19252;77588;2019;2019
5130;17341;2019;2019
99395;963;2019;2019
19820;77118;2019;2019
93854;75364;2019;2019
78410;64534;2019;2019
81958;42318;2019;2019
18852;27792;2019;2019
30565;37142;2019;2019
38690;42422;2019;2019
31379;10763;2019;2019
38577;98855;2019;2019
44085;53432;2020;2020
13051;36806;2020;2020
69778;76189;2020;2020
25477;4957;2020;2020
75400;75789;2020;2020
12865;13909;2020;2020
18415;31007;2020;2020
22918;1826;2020;2020
93027;31827;2020;2020
97483;59545;2020;2020
61010;99972;2020;2020
5502;2576;2020;2020
80418;71615;2015;2015
23340;87558;2015;2015
5911;8075;2015;2015
85933;4543;2015;2015
36063;1082;2015;2015
77444;94045;2015;2015
31082;59055;2015;2015
39421;81944;2015;2015
11955;66997;2015;2015
83117;60222;2015;2015
71487;1567;2015;2015
87293;52986;2015;2015
56108;17118;2016;2016
45914;5856;2016;2016
28029;6411;2016;2016
65372;65981;2016;2016
39244;1738;2016;2016
87739;30327;2016;2016
84105;80528;2016;2016
39090;61303;2016;2016
3551;59257;2016;2016
61639;8847;2016;2016
73947;75575;2016;2016
41911;30992;2016;2016
65623;16557;2016;2016
49148;51721;2016;2016
41625;29088;2016;2016
56310;26305;2016;2016
97636;66517;2017;2017
68859;75425;2017;2017
63781;17437;2017;2017
98305;51622;2017;2017
2393;65831;2017;2017
12468;51067;2017;2017
27370;72975;2017;2017
890;11537;2017;2017
80921;22474;2017;2017
46718;28804;2017;2017
93747;12121;2017;2017
22814;11646;2017;2017
8461;26057;2017;2017
8163;18908999999;2017;2017
48171;29846;2017;2017
98400;2584;2017;2017
44375;37934;2017;2017
37814;3529;2017;2017
38281;41689;2017;2017
16857;45135;2017;2017
73535;23142;2018;2018
86718;63176;2018;2018
14450;88762;2018;2018
18977;4618699999;2018;2018
47802;42733;2018;2018
36351;39087;2018;2018
31291;33089;2018;2018
48149;70093;2018;2018
80465;64759;2018;2018
60927;88808;2018;2018
18657;68883;2018;2018
34089;2108;2018;2018
90530;16577;2018;2018
88085;345;2018;2018
42916;37673;2018;2018
32078;64727;2018;2018
42475;50779;2018;2018
90616;22899;2019;2019
79755;82519;2019;2019
71422;4477;2019;2019
74330;31906;2019;2019
8502;14300999999;2019;2019
53076;5482;2019;2019
88798;9655;2019;2019
96790;23287;2019;2019
10506;5857;2019;2019
24150;19112;2019;2019
55227;94578;2019;2019
83739;43035;2019;2019
26523;26291;2019;2019
20910;72054;2019;2019
43881;32429;2019;2019
79255;7996;2019;2019
50996;78699;2019;2019
19761;56483;2019;2019
2340;69954;2019;2019
94950;55626;2019;2019
78133;95955;2019;2019
624;2118;2019;2019
52500;71055;2019;2019
53336;74501;2020;2020
95534;2695;2020;2020
53426;26236;2020;2020
21812;881;2020;2020
70798;38213;2020;2020
27283;64729;2020;2020
37818;97022;2020;2020
84746;25713;2020;2020
66875;89793;2020;2020
51052;81424;2020;2020
53639;19787;2020;2020
46076;5635;2020;2020
21742;18382;2015;2015
92969;72017;2015;2015
32876;17385;2015;2015
7927;4626;2015;2015
24517;909;2015;2015
68085;20627;2015;2015
61416;36109;2015;2015
74849;15737;2015;2015
27568;12145;2015;2015
26654;97451;2015;2015
65893;52968;2015;2015
64983;2318;2015;2015
80557;6492;2016;2016
87235;28398;2016;2016
21264;85908;2016;2016
11594;72519;2016;2016
60010;93801;2016;2016
10908;47155;2016;2016
28488;7434;2016;2016
21412;6741;2016;2016
97676;19855;2016;2016
59247;16914;2016;2016
57473;36142;2016;2016
40730;91359;2016;2016
36829;80974;2016;2016
26783;42646;2016;2016
59820;50406;2016;2016
16760;61981;2016;2016
9772;86074;2017;2017
82793;3612;2017;2017
22783;35044;2017;2017
88826;47709;2017;2017
95008;48413;2017;2017
82087;33953;2017;2017
95419;6443;2017;2017
74101;94845;2017;2017
41195;47171;2017;2017
4322;16783;2017;2017
36184;36005;2017;2017
99865;69023;2017;2017
46392;38531;2017;2017
11168;54081;2017;2017
38716;91061;2017;2017
41016;92581;2017;2017
12169;29709;2017;2017
89590;77342;2017;2017
1952;3926;2017;2017
63873;7694;2017;2017
2794;87581;2018;2018
48646;34665;2018;2018
62507;87201;2018;2018
84294;89271;2018;2018
65538;15426;2018;2018
86948;33095;2018;2018
50097;38785;2018;2018
64169;4897;2018;2018
93326;7862;2018;2018
47083;77165;2018;2018
71464;12302;2018;2018
12234;51311;2018;2018
40712;7375;2018;2018
18278;25128;2018;2018
81410;15304;2018;2018
40931;23085;2018;2018
22864;48958;2018;2018
12679;53372;2019;2019
39523;27938;2019;2019
73465;31099;2019;2019
54715;57261;2019;2019
91154;12673;2019;2019
71498;39804;2019;2019
66052;53662;2019;2019
47385;9532;2019;2019
43279;70055;2019;2019
41751;10731;2019;2019
91918;7491;2019;2019
38773;21486;2019;2019
18190;92293;2019;2019
91154;69026;2019;2019
9007;17197;2019;2019
33662;30466;2019;2019
20028;3225;2019;2019
18485;83877;2019;2019
82587;40642;2019;2019
9362;7567;2019;2019
9070;69674;2019;2019
88722;614;2019;2019
9188;56233;2019;2019
76120;32075;2020;2020
27040;99468;2020;2020
40422;29322;2020;2020
64703;84451;2020;2020
1480;575;2020;2020
62592;6903;2020;2020
70539;54052;2020;2020
62879;36686;2020;2020
84443;6017;2020;2020
34528;84673;2020;2020
27166;49838;2020;2020
59992;14724;2020;2020
71118;60248;2015;2015
9574;83572;2015;2015
51800;7857;2015;2015
7525;83057;2015;2015
77715;89724;2015;2015
65644;83047;2015;2015
16161;53705;2015;2015
70491;21569;2015;2015
45870;97024;2015;2015
30029;80313;2015;2015
64839;67616;2015;2015
52549;98;2015;2015
81034;40459;2016;2016
67703;94816;2016;2016
19134;36135;2016;2016
82184;18514;2016;2016
70613;11518;2016;2016
56021;81615;2016;2016
67450;8611;2016;2016
10830;39698;2016;2016
15248;63268;2016;2016
97554;12703;2016;2016
86225;91593;2016;2016
47625;28213;2016;2016
68890;40659;2016;2016
76701;11967;2016;2016
37020;56345;2016;2016
57550;63151;2016;2016
64357;87039;2017;2017
46961;58754;2017;2017
74015;15762;2017;2017
77842;76025;2017;2017
68871;8431;2017;2017
76230;3539;2017;2017
83344;17873;2017;2017
3033;72213;2017;2017
82745;54525;2017;2017
82431;38312;2017;2017
81335;74938;2017;2017
33679;61928;2017;2017
75587;30915;2017;2017
38893;95352;2017;2017
64750;18193;2017;2017
81175;42811;2017;2017
86671;85638;2017;2017
12949;95483;2017;2017
55776;7053;2017;2017
70000;7006;2017;2017
29374;73923;2018;2018
47754;38327;2018;2018
57357;68208;2018;2018
70698;94998;2018;2018
37068;29849;2018;2018
4461;95509;2018;2018
208;28665;2018;2018
7798;93748;2018;2018
70344;75357;2018;2018
91517;66341;2018;2018
22310;47235;2018;2018
52656;69816;2018;2018
84300;32503;2018;2018
14477;26477;2018;2018
10187;107;2018;2018
78652;68969;2018;2018
75464;20783;2018;2018
